import time: self [us] | cumulative | imported package
import time:       126 |        126 |             torch.distributions.half_cauchy
import time:       143 |        143 |               torch.distributions.normal
import time:       124 |        266 |             torch.distributions.half_normal
import time:       163 |        163 |               torch.distributions.laplace
import time:       171 |        171 |                 torch.distributions.multivariate_normal
import time:       171 |        341 |               torch.distributions.lowrank_multivariate_normal
import time:       158 |        158 |               torch.distributions.one_hot_categorical
import time:       143 |        143 |               torch.distributions.pareto
import time:       129 |        129 |               torch.distributions.poisson
import time:       628 |       1559 |             torch.distributions.kl
import time:       146 |        146 |             torch.distributions.kumaraswamy
import time:       142 |        142 |             torch.distributions.lkj_cholesky
import time:       122 |        122 |             torch.distributions.log_normal
import time:       116 |        116 |             torch.distributions.logistic_normal
import time:       146 |        146 |             torch.distributions.mixture_same_family
import time:       140 |        140 |             torch.distributions.multinomial
import time:       139 |        139 |             torch.distributions.negative_binomial
import time:       151 |        151 |             torch.distributions.relaxed_bernoulli
import time:       157 |        157 |             torch.distributions.relaxed_categorical
import time:       132 |        132 |             torch.distributions.studentT
import time:       200 |        200 |             torch.distributions.von_mises
import time:       135 |        135 |             torch.distributions.weibull
import time:       194 |        194 |             torch.distributions.wishart
import time:       350 |       8176 |           torch.distributions
import time:       338 |        338 |             torch.utils.data.sampler
import time:       413 |        413 |             torch.utils.data.dataset
import time:       206 |        206 |                         torch.utils.data.datapipes._hook_iterator
import time:       271 |        477 |                       torch.utils.data.datapipes._typing
import time:       119 |        119 |                         torch.utils.data.datapipes.utils
import time:       230 |        230 |                                 _queue
import time:       272 |        501 |                               queue
import time:       128 |        128 |                               torch.utils.data._utils.signal_handling
import time:       789 |       1418 |                             torch.utils.data._utils.worker
import time:       146 |        146 |                             torch.utils.data._utils.pin_memory
import time:       257 |        257 |                             torch.utils.data._utils.collate
import time:       146 |        146 |                             torch.utils.data._utils.fetch
import time:       155 |       2119 |                           torch.utils.data._utils
import time:       152 |        152 |                             dill.__info__
import time:       235 |        235 |                               dill.logger
import time:       621 |        621 |                               _pyio
import time:       169 |        169 |                               dill._shims
import time:       112 |        112 |                               dill.settings
import time:        51 |         51 |                               winreg
import time:       889 |       2073 |                             dill._dill
import time:       546 |        546 |                             dill.session
import time:       120 |        120 |                               dill.pointers
import time:       170 |        289 |                             dill.detect
import time:       212 |        212 |                             dill.source
import time:       177 |        177 |                             dill.temp
import time:       110 |        110 |                             dill.objtypes
import time:       218 |       3773 |                           dill
import time:       120 |       6010 |                         torch.utils.data._utils.serialization
import time:       269 |       6398 |                       torch.utils.data.datapipes.utils.common
